[W1S1] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 09:00–09:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S2] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 09:30–09:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S3] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 10:00–10:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S4] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 10:30–10:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S5] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 11:00–11:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S6] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 11:30–11:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S7] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 12:00–12:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S8] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 12:30–12:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S9] 📅 Sunday | 🗓️ April 27, 2025 | 🕒 13:00–13:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S10] 📅 Monday | 🗓️ April 28, 2025 | 🕒 13:30–13:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S11] 📅 Monday | 🗓️ April 28, 2025 | 🕒 14:00–14:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S12] 📅 Monday | 🗓️ April 28, 2025 | 🕒 14:30–14:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S13] 📅 Monday | 🗓️ April 28, 2025 | 🕒 15:00–15:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S14] 📅 Monday | 🗓️ April 28, 2025 | 🕒 15:30–15:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S15] 📅 Monday | 🗓️ April 28, 2025 | 🕒 16:00–16:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S16] 📅 Monday | 🗓️ April 28, 2025 | 🕒 16:30–16:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S17] 📅 Monday | 🗓️ April 28, 2025 | 🕒 17:00–17:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S18] 📅 Monday | 🗓️ April 28, 2025 | 🕒 17:30–17:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S19] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 18:00–18:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S20] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 18:30–18:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S21] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 19:00–19:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S22] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 19:30–19:60 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S23] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 20:00–20:30 | 🧴 Acupuncture | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S24] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 20:30–20:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S25] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 21:00–21:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S26] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 21:30–21:60 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S27] 📅 Tuesday | 🗓️ April 29, 2025 | 🕒 22:00–22:30 | 🧴 Massage | 🧠 Physiotherapy | 👨‍⚕️ None | 👤 None | Available
[W1S28] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 22:30–22:60 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
[W1S29] 📅 Wednesday | 🗓️ April 30, 2025 | 🕒 23:00–23:30 | 🧴 Mobilisation of the spine and joints | 🧠 Osteopathy | 👨‍⚕️ None | 👤 None | Available
